title,release_year,country,duration,language,certification,gross,budget
Intolerance: Love's Struggle Throughout the Ages,1916,USA,123,,Not Rated,,385907
Over the Hill to the Poorhouse,1920,USA,110,,,3000000,100000
The Big Parade,1925,USA,151,,Not Rated,,245000
Metropolis,1927,Germany,145,German,Not Rated,26435,6000000
Pandora's Box,1929,Germany,110,German,Not Rated,9950,
The Broadway Melody,1929,USA,100,English,Passed,2808000,379000
Hell's Angels,1930,USA,96,English,Passed,,3950000
A Farewell to Arms,1932,USA,79,English,Unrated,,800000
42nd Street,1933,USA,89,English,Unrated,2300000,439000
She Done Him Wrong,1933,USA,66,English,Approved,,200000
It Happened One Night,1934,USA,65,English,Unrated,,325000
Top Hat,1935,USA,81,English,Approved,3000000,609000
Modern Times,1936,USA,87,English,G,163245,1500000
The Charge of the Light Brigade,1936,USA,100,English,Approved,,1200000
Snow White and the Seven Dwarfs,1937,USA,83,English,Approved,184925485,2000000
The Prisoner of Zenda,1937,USA,101,English,Approved,,
Alexander's Ragtime Band,1938,USA,106,English,Approved,,2000000
You Can't Take It with You,1938,USA,126,English,Approved,,1644736
Gone with the Wind,1939,USA,226,English,G,198655278,3977000
Mr. Smith Goes to Washington,1939,USA,120,English,Not Rated,,1500000
The Wizard of Oz,1939,USA,102,English,Passed,22202612,2800000
Boom Town,1940,USA,119,English,Passed,,1614000
Fantasia,1940,USA,120,English,G,76400000,2280000
Pinocchio,1940,USA,88,English,Approved,84300000,2600000
Rebecca,1940,USA,130,English,Not Rated,,1288000
The Blue Bird,1940,USA,83,English,Approved,,
How Green Was My Valley,1941,USA,118,English,Approved,,1250000
Bambi,1942,USA,70,English,Approved,102797150,
Casablanca,1942,USA,82,English,PG,,950000
A Guy Named Joe,1943,USA,122,English,Passed,,2627000
Bathing Beauty,1944,USA,101,English,Passed,,2361000
Spellbound,1945,USA,95,English,Unrated,,1696377
State Fair,1945,USA,100,English,Approved,,
The Lost Weekend,1945,USA,101,English,Not Rated,,1250000
The Valley of Decision,1945,USA,119,English,Passed,,2160000
Duel in the Sun,1946,USA,144,English,Unrated,20400000,8000000
It's a Wonderful Life,1946,USA,118,English,PG,,3180000
The Best Years of Our Lives,1946,USA,172,English,Not Rated,23650000,2100000
Gentleman's Agreement,1947,USA,118,English,Approved,,2000000
The Lady from Shanghai,1947,USA,92,English,Not Rated,7927,2300000
Tycoon,1947,USA,95,English,Approved,,3209000
Open Secret,1948,USA,68,English,Approved,,
Red River,1948,USA,126,English,Approved,,3000000
The Pirate,1948,USA,102,English,Approved,2956000,3700000
Sands of Iwo Jima,1949,USA,109,English,Approved,,1000000
She Wore a Yellow Ribbon,1949,USA,103,English,Unrated,,1600000
Annie Get Your Gun,1950,USA,107,English,Passed,8000000,3768785
A Streetcar Named Desire,1951,USA,125,English,PG,,1800000
Quo Vadis,1951,USA,171,English,Passed,,7623000
Show Boat,1951,USA,108,English,Approved,,2295429
Deadline - U.S.A.,1952,USA,87,English,,,
High Noon,1952,USA,85,English,PG,,750000
Singin' in the Rain,1952,USA,103,English,Approved,,2540800
The Greatest Show on Earth,1952,USA,152,English,Not Rated,36000000,4000000
From Here to Eternity,1953,USA,118,English,Not Rated,,1650000
Niagara,1953,USA,92,English,Approved,,1250000
"The Beast from 20,000 Fathoms",1953,USA,80,English,Approved,5000000,210000
The Robe,1953,USA,135,English,Unrated,36000000,5000000
"20,000 Leagues Under the Sea",1954,USA,127,English,Approved,,5000000
"20,000 Leagues Under the Sea",1954,USA,127,English,Approved,,5000000
On the Waterfront,1954,USA,108,English,Not Rated,9600000,910000
Seven Samurai,1954,Japan,202,Japanese,Unrated,269061,2000000
The Egyptian,1954,USA,139,English,Approved,,5000000
Ordet,1955,Denmark,126,Danish,Not Rated,,
The Trouble with Harry,1955,USA,99,English,Approved,,1200000
Love Me Tender,1956,USA,89,English,,,1000000
Moby Dick,1956,USA,115,English,Unrated,,4500000
Trapeze,1956,USA,105,English,Approved,,4000000
12 Angry Men,1957,USA,96,English,Not Rated,,350000
The Bridge on the River Kwai,1957,UK,161,English,PG,27200000,3000000
Cat on a Hot Tin Roof,1958,USA,108,English,Approved,,3000000
Solomon and Sheba,1959,USA,141,English,,,5000000
Some Like It Hot,1959,USA,120,English,Not Rated,25000000,2883848
The Nun's Story,1959,USA,149,English,Not Rated,,3500000
Elmer Gantry,1960,USA,146,English,Approved,,3000000
Psycho,1960,USA,108,English,R,32000000,806947
The Apartment,1960,USA,125,English,Approved,,3000000
Judgment at Nuremberg,1961,USA,186,English,Not Rated,,3000000
Pocketful of Miracles,1961,USA,136,English,Approved,,2900000
The Hustler,1961,USA,134,English,Unrated,,2000000
The Misfits,1961,USA,120,English,Approved,,4000000
West Side Story,1961,USA,152,English,Unrated,43650000,6000000
Dr. No,1962,UK,110,English,Approved,16067035,1100000
Lawrence of Arabia,1962,UK,227,English,PG,6000000,15000000
Lolita,1962,UK,152,English,Not Rated,,2000000
Lolita,1962,UK,152,English,Not Rated,,2000000
The Brain That Wouldn't Die,1962,USA,70,English,Approved,,62000
The Longest Day,1962,USA,178,English,G,,10000000
The Man Who Shot Liberty Valance,1962,USA,113,English,Approved,,3200000
To Kill a Mockingbird,1962,USA,129,English,Not Rated,,2000000
55 Days at Peking,1963,USA,154,English,Unrated,,9000000
Cleopatra,1963,UK,251,English,Approved,57750000,31115000
Donovan's Reef,1963,USA,109,English,Not Rated,,2686585
From Russia with Love,1963,UK,115,English,Approved,24800000,2000000
Hud,1963,USA,112,English,Approved,,2500000
"It's a Mad, Mad, Mad, Mad World",1963,USA,197,English,Approved,46300000,9400000
The Great Escape,1963,USA,172,English,Approved,,4000000
Tom Jones,1963,UK,121,English,Unrated,,1000000
A Fistful of Dollars,1964,Italy,99,Italian,R,3500000,200000
A Hard Day's Night,1964,UK,87,English,Approved,515005,560000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,USA,95,English,PG,,1800000
Goldfinger,1964,UK,110,English,Approved,51100000,3000000
Mary Poppins,1964,USA,139,English,Approved,102300000,6000000
My Fair Lady,1964,USA,170,English,Approved,72000000,17000000
Nothing But a Man,1964,USA,95,English,Not Rated,12438,160000
The Fall of the Roman Empire,1964,USA,172,English,Approved,,19000000
The Train,1964,France,133,English,Unrated,,6700000
Une Femme Mari̩e,1964,France,94,French,,,120000
Doctor Zhivago,1965,USA,200,English,PG-13,111722000,11000000
Major Dundee,1965,USA,152,English,Approved,14873,3800000
Pierrot le Fou,1965,France,110,French,Not Rated,,300000
The Greatest Story Ever Told,1965,USA,225,English,G,8000000,20000000
The Party's Over,1965,UK,94,English,,,
The Sound of Music,1965,USA,174,English,G,163214286,8200000
Thunderball,1965,UK,130,English,Approved,63600000,9000000
A Funny Thing Happened on the Way to the Forum,1966,USA,99,English,Approved,,2000000
A Man for All Seasons,1966,UK,120,English,Approved,,2000000
Batman: The Movie,1966,USA,105,English,Approved,,1377800
Harper,1966,USA,121,English,Not Rated,,3500000
"The Good, the Bad and the Ugly",1966,Italy,142,Italian,Approved,6100000,1200000
Torn Curtain,1966,USA,128,English,Approved,,6000000
In Cold Blood,1967,USA,134,English,Approved,,3500000
Point Blank,1967,USA,92,English,Approved,,3000000
The Torture Chamber of Dr. Sadism,1967,West Germany,80,German,M,,
You Only Live Twice,1967,UK,117,English,Approved,43100000,9500000
2001: A Space Odyssey,1968,UK,161,English,G,56715371,12000000
Barbarella,1968,France,98,English,PG,,9000000
Charly,1968,USA,103,English,PG,,
Hang 'Em High,1968,USA,114,English,M,,1800000
Night of the Living Dead,1968,USA,96,English,Unrated,,114000
Night of the Living Dead,1968,USA,96,English,Unrated,,114000
Oliver!,1968,UK,153,English,G,16800000,10000000
Once Upon a Time in the West,1968,Italy,145,English,PG-13,,5000000
Rosemary's Baby,1968,USA,136,English,R,,2300000
Shalako,1968,UK,113,English,PG,,1455000
"Yours, Mine and Ours",1968,USA,111,English,Unrated,,2500000
Butch Cassidy and the Sundance Kid,1969,USA,110,English,M,102308900,6000000
Machine Gun McCain,1969,Italy,96,English,GP,,
Midnight Cowboy,1969,USA,113,English,X,,3600000
Mississippi Mermaid,1969,France,123,French,R,26893,1600000
On Her Majesty's Secret Service,1969,UK,142,English,M,22800000,7000000
Paint Your Wagon,1969,USA,158,English,PG-13,,20000000
Sweet Charity,1969,USA,154,English,G,,20000000
The Stewardesses,1969,USA,93,English,X,,100000
The Wild Bunch,1969,USA,144,English,R,,6244087
Topaz,1969,USA,127,English,M,,4000000
Beneath the Planet of the Apes,1970,USA,95,English,G,,3000000
Beyond the Valley of the Dolls,1970,USA,109,English,X,9000000,900000
Catch-22,1970,USA,122,English,R,,18000000
Cotton Comes to Harlem,1970,USA,97,English,R,,1200000
Darling Lili,1970,USA,143,English,G,5000000,25000000
Patton,1970,USA,172,English,GP,,12000000
The Ballad of Cable Hogue,1970,USA,121,English,R,,3716946
The Conformist,1970,Italy,106,Italian,R,,750000
The Molly Maguires,1970,USA,124,English,PG,,11000000
Tora! Tora! Tora!,1970,Japan,160,English,G,14500000,25000000
Waterloo,1970,Italy,134,English,G,,25000000
Woodstock,1970,USA,215,English,R,13300000,600000
Bananas,1971,USA,82,English,GP,,2000000
Diamonds Are Forever,1971,UK,120,English,GP,43800000,7200000
Escape from the Planet of the Apes,1971,USA,98,English,G,,2500000
Fiddler on the Roof,1971,USA,181,English,G,50000000,9000000
Pink Narcissus,1971,USA,65,English,Not Rated,8231,27000
Sweet Sweetback's Baadasssss Song,1971,USA,97,English,R,15180000,500000
The Andromeda Strain,1971,USA,115,English,G,,6500000
The French Connection,1971,USA,104,English,R,,1800000
The French Connection,1971,USA,104,English,R,,1800000
The Night Visitor,1971,USA,106,English,GP,,
Willy Wonka & the Chocolate Factory,1971,USA,89,English,G,,3000000
1776,1972,USA,168,English,PG,,4000000
Conquest of the Planet of the Apes,1972,USA,88,English,PG,,1700000
Cries & Whispers,1972,Sweden,91,Swedish,R,,400000
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,USA,88,English,R,,2000000
Frenzy,1972,UK,116,English,R,,2000000
Pink Flamingos,1972,USA,108,English,NC-17,180483,10000
Silent Running,1972,USA,89,English,GP,,1000000
Solaris,1972,Soviet Union,115,Russian,PG,,1000000
The Godfather,1972,USA,175,English,R,134821952,6000000
American Graffiti,1973,USA,112,English,PG,115000000,777000
